CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,LINGUA E LETTERATURA ITALIANA,9788828628958,ANTONELLI GIUSEPPE - PICCHIORRI EMILIANO - ROSSI LEONARDO,ITALIANO DI DOMANI (L'),VOLUME UNICO,U,EINAUDI SCUOLA,"25,80",Si,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,LINGUA E LETTERATURA ITALIANA,9788828629030,ANTONELLI GIUSEPPE - PICCHIORRI EMILIANO - ROSSI LEONARDO,ITALIANO DI DOMANI (L'),GRAMMATICA PER TUTTI - PERCORSI FACILITATI DI GRAMMATICA ITALIANA,U,EINAUDI SCUOLA,"8,20",Si,No,Mo
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,LINGUA E LETTERATURA ITALIANA,9788839562760,POZZOLI ORIETTA - MANFREDI PAOLA - DI SACCO PAOLO,FORSE UN MATTINO A CON SCRITTURA,ND,1,PARAVIA,"27,20",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,LINGUA E LETTERATURA ITALIANA,9788839562845,POZZOLI ORIETTA - MANFREDI PAOLA - DI SACCO PAOLO,FORSE UN MATTINO ANTOLOGIA DEI PROMESSI SPOSI,ND,U,PARAVIA,"11,70",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,LINGUA INGLESE,9788836192588,"SPENCER DAVID  ",GATEWAY THINK GLOBAL,FAST TRACK + ROAD MAP TO COMMUNICATION,U,MACMILLAN,"33,60",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,STORIA,9788830226579,"CAZZANIGA  ",STORIA E' TRA DI NOI (LA),VOLUME 1,1,LA NUOVA ITALIA EDITRICE,"25,40",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,GEOGRAFIA,9788823107984,"GAMBERUCCI  ",GEOPOCKET,VOLUME,U,MARKES,"15,30",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,MATEMATICA,9788808632531,"BERGAMINI MASSIMO - BAROZZI GRAZIELLA ",MATEMATICA MULTIMEDIALE.VERDE 3ED. - VOLUME 1 CON LAZ TUTOR (LDM),ND,1,ZANICHELLI EDITORE,"36,60",Si,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,FISICA,9788808627599,CUTNELL JOHN D - JOHNSON KENNETH W - YOUNG D - STADLER S,FISICA DI CUTNELL E JOHNSON.VERDE (LA) - VOLUME 1 (LDM),MECCANICA,1,ZANICHELLI EDITORE,"25,40",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,"SCIENZE NATURALI (BIOLOGIA, CHIMICA, SCIENZE DELLA TERRA)",9788824777834,"ZANOLI STEFANO  ",EARTH LEZIONI DI SCIENZE DELLA TERRA,VOLUME UNICO,U,A. MONDADORI SCUOLA,"24,20",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,DIRITTO ED ECONOMIA,9788808305107,"RAZZOLI MARIACRISTINA  ",DIRITTO ED ECONOMIA 4ED. - VOLUME 1 (LDM),TRA MONDO REALE E DIGITALE,1,CLITT,"15,60",Si,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,TECNOLOGIE E TECNICHE DI RAPPRESENTAZIONE GRAFICA,9788805080588,"DELLAVECCHIA SERGIO - DELLAVECCHIA GIAN MARCO ",TTRG - VOLUME UNICO + SCHEDE DI DISEGNO,PER IL PROGETTO EDILIZIO,U,SEI,"31,40",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,TECNOLOGIE E TECNICHE DI RAPPRESENTAZIONE GRAFICA,9788805080595,"DELLAVECCHIA SERGIO - DELLAVECCHIA GIAN MARCO ",TTRG PER IL PROGETTO EDILIZIO - AUTOCAD,ND,U,SEI,"9,40",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,TECNOLOGIE INFORMATICHE,9788824786607,"IACOBELLI CESARE - BELTRAMO FAUSTO ",COMPUWORLD 4.0 2A EDIZIONE_2022,VOLUME UNICO,U,SCUOLA & AZIENDA,"27,30",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,SCIENZE MOTORIE E SPORTIVE,9788805078486,"GOTTIN MAURIZIO - DEGANI ENRICO ",MATCH POINT + BASIC LIFE SUPPORT E TECNICHE DI PRIMO SOCCORSO,SCIENZE MOTORIE E SPORTIVE PER LA SCUOLA SECONDARIA DI SECONDO GRADO,U,SEI,"21,30",No,Si,No
MTTD06000B,1,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA,9788805079612,"SOLINAS LUIGI  ",NOI DOMANI - VOLUME UNICO + RELIGIONI IN DIALOGO,CON NULLA OSTA CEI,U,SEI,"18,90",No,Si,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",CHIMICA,9788808999696,"TARASCO SILVIA - TIBONE FEDERICO ",CHIMICA SOSTENIBILE - VOL. U (LDM),ND,U,ZANICHELLI EDITORE,"21,70",No,Si,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA E LETTERATURA ITALIANA,9788824778428,"SENSINI MARCELLO  ",A TUTTO CAMPO,VOLUME A - GRAMMATICA E LESSICO + VOLUME B - SCRITTURA E TESTI,U,A. MONDADORI SCUOLA,"29,20",No,No,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA E LETTERATURA ITALIANA,9788839562807,POZZOLI ORIETTA - MANFREDI PAOLA - DI SACCO PAOLO,FORSE UN MATTINO B CON PERCORSO LE ORIGINI DELLA LETTERATURA,ND,2,PARAVIA,"24,30",No,Si,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA E LETTERATURA ITALIANA,9788839562845,POZZOLI ORIETTA - MANFREDI PAOLA - DI SACCO PAOLO,FORSE UN MATTINO ANTOLOGIA DEI PROMESSI SPOSI,ND,U,PARAVIA,"11,70",No,No,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA INGLESE,9788836192588,"SPENCER DAVID  ",GATEWAY THINK GLOBAL,FAST TRACK + ROAD MAP TO COMMUNICATION,U,MACMILLAN,"33,60",No,No,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",STORIA,9788830226586,"CAZZANIGA  ",STORIA E' TRA DI NOI (LA),VOLUME 2,2,LA NUOVA ITALIA EDITRICE,"25,40",No,Si,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",GEOGRAFIA,9788823106710,"GAMBERUCCI FABRIZIA  ",GEOGRAFIA DEL MONDO CHE CAMBIA - LIBRO MISTO CON LIBRO DIGITALE,VOLUME 2 - PAESI EXTRAEUROPEI,2,MARKES,"22,90",No,Si,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",MATEMATICA,9788808541819,"BERGAMINI MASSIMO - BAROZZI GRAZIELLA ",MATEMATICA MULTIMEDIALE.VERDE 2ED. - VOL. 2 CON TUTOR (LDM),ND,2,ZANICHELLI EDITORE,"37,00",No,Si,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING","SCIENZE NATURALI (BIOLOGIA, CHIMICA, SCIENZE DELLA TERRA)",9788824777766,"ZANOLI STEFANO  ",LIFE LEZIONI DI BIOLOGIA,VOLUME UNICO,U,A. MONDADORI SCUOLA,"25,10",No,Si,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",DIRITTO ED ECONOMIA,9788808663122,"RAZZOLI MARIACRISTINA  ",DIRITTO ED ECONOMIA 3ED. - VOL. 2 (LDM),TRA MONDO REALE E DIGITALE,2,CLITT,"15,30",No,Si,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",ECONOMIA AZIENDALE,9788824787086,"BANDERALI FABIO  ",ECONOMIA AZIENDALE IN PRATICA,VOLUME UNICO PER IL 1° BIENNIO + QUADERNO - ED 2024,U,SCUOLA & AZIENDA,"33,00",No,No,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",TECNOLOGIE INFORMATICHE,9788824786607,"IACOBELLI CESARE - BELTRAMO FAUSTO ",COMPUWORLD 4.0 2A EDIZIONE_2022,VOLUME UNICO,U,SCUOLA & AZIENDA,"27,30",No,No,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA E CULTURA STRANIERA (FRANCESE),9788808464781,COCTON MARIE-NOELLE - GIACHINO LUCA - BARACCO CARLA,PAS À PAS 2ED. DI ÉTAPES - VOL. 2 (LDM),ND,2,ZANICHELLI EDITORE,"29,60",No,Si,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA E CULTURA STRANIERA (FRANCESE),9788808820389,COCTON MARIE-NOELLE - GIACHINO LUCA - BARACCO CARLA,PAS À PAS 2ED. DI ÉTAPES - VOL. 1 + LIVRET DE CULTURE (LDM),ND,1,ZANICHELLI EDITORE,"27,90",No,No,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",SCIENZE MOTORIE E SPORTIVE,9788805078486,"GOTTIN MAURIZIO - DEGANI ENRICO ",MATCH POINT + BASIC LIFE SUPPORT E TECNICHE DI PRIMO SOCCORSO,SCIENZE MOTORIE E SPORTIVE PER LA SCUOLA SECONDARIA DI SECONDO GRADO,U,SEI,"21,30",No,No,No
MTTD06000B,2,C,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA,9788805079612,"SOLINAS LUIGI  ",NOI DOMANI - VOLUME UNICO + RELIGIONI IN DIALOGO,CON NULLA OSTA CEI,U,SEI,"18,90",No,No,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,LINGUA E LETTERATURA ITALIANA,9788839563729,GUIDO BALDI - ROBERTO FAVATà - SILVIA GIUSSO,LORO E NOI 2,DAL BAROCCO AL ROMANTICISMO,2,PARAVIA,"37,50",No,Si,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,LINGUA INGLESE,9788861618152,"B  BETTINELLI - A  GALIMBERTI ",CAREER PATHS IN BUSINESS,SUSTAINABLE BUSINESS IN A CHANGING WORLD,U,LANG EDIZIONI,"36,60",No,No,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,STORIA,9788830220188,"BRANCATI - PAGLIARANI ",TRASFORMAZIONI DELLA STORIA (LE),VOLUME 2 + CONNESSIONI STORIA 2,2,LA NUOVA ITALIA EDITRICE,"28,90",No,Si,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,MATEMATICA,9788823376281,CONSULINA BRUNA - GAMBOTTO ANNA MARIA - MANZONE DANIELE,CORSO DI MATEMATICA,VOLUME 4,2,TRAMONTANA,"31,30",No,Si,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,INFORMATICA,9788836007783,"CAMAGNI PAOLO - NIKOLASSY RICCARDO ",NUOVO INFORMATICA & IMPRESA EDIZIONE GIALLA,PER SISTEMI INFORMATIVI AZIENDALI,1,HOEPLI,"28,70",No,No,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,ECONOMIA AZIENDALE,9788823370890,ASTOLFI - BARALE - RASCIONI,ENTRIAMO IN AZIENDA  IL MANUALE 2,VOLUME 2 TOMO 1 + VOLUME 2 TOMO 2 + QUADRO DEI CONTI 2,2,TRAMONTANA,"50,90",No,Si,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,DIRITTO,9788800364409,ZAGREBELSKY GUSTAVO - OBERTO GIACOMO - STALLA GIACOMO MARIA,DIRITTO,VOLUME UNICO PER IL 2° BIENNIO - ED 2024,U,LE MONNIER,"44,90",No,No,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,ECONOMIA POLITICA,9788841660669,"POMA FRANCO  ",UNA BUONA ECONOMIA - ECONOMIA POLITICA,ND,U,PRINCIPATO,"33,50",No,No,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,SCIENZE MOTORIE E SPORTIVE,9788805078486,"GOTTIN MAURIZIO - DEGANI ENRICO ",MATCH POINT + BASIC LIFE SUPPORT E TECNICHE DI PRIMO SOCCORSO,SCIENZE MOTORIE E SPORTIVE PER LA SCUOLA SECONDARIA DI SECONDO GRADO,U,SEI,"21,30",No,No,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA,9788805075492,"SOLINAS LUIGI  ",ARCOBALENI + DVD - CON NULLA OSTA CEI,VOLUME UNICO,U,SEI,"19,90",No,No,No
MTTD06000B,4,BS,NT,SISTEMI INFORMATIVI AZIENDALI,EDUCAZIONE CIVICA,9788800359856,"ZAGREBELSKY GUSTAVO - TRUCCO CRISTINA ",CHI VOGLIAMO E NON VOGLIAMO ESSERE,VOLUME UNICO,U,LE MONNIER,"22,20",No,No,No
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,LINGUA E LETTERATURA ITALIANA,9788839563729,GUIDO BALDI - ROBERTO FAVATà - SILVIA GIUSSO,LORO E NOI 2,DAL BAROCCO AL ROMANTICISMO,2,PARAVIA,"37,50",No,Si,No
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,LINGUA INGLESE,9788836015658,"SGUOTTI GIULIANA - HAYES ZAC ",BUILD BETTER,ENGLISH FOR CONSTRUCTIONS,U,HOEPLI,"27,70",No,No,No
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,STORIA,9788830220188,"BRANCATI - PAGLIARANI ",TRASFORMAZIONI DELLA STORIA (LE),VOLUME 2 + CONNESSIONI STORIA 2,2,LA NUOVA ITALIA EDITRICE,"28,90",No,Si,No
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,MATEMATICA,9788808614384,BERGAMINI MASSIMO - BAROZZI GRAZIELLA - TRIFONE ANNA,MATEMATICA.VERDE 3ED - CONFEZIONE 4A+4B (LDM),ND,2,ZANICHELLI EDITORE,"40,80",No,Si,No
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,"GEOPEDOLOGIA, ECONOMIA ED ESTIMO",9788836014880,"AMICABILE STEFANO  ",NUOVO CORSO DI ECONOMIA ED ESTIMO,ECONOMIA POLITICA - MATEMATICA FINANZIARIA,1,HOEPLI,"22,90",No,Si,No
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,TOPOGRAFIA,9788808247803,CANNAROZZO RENATO - CUCCHIARINI LANFRANCO - MESCHIERI WILLIAM,"MISURE, RILIEVO, PROGETTO 6ED - VOLUME 2 (LDM)",IL RILIEVO DEL TERRITORIO CON TECNICHE TRADIZIONALI E CON NUOVE TECNOLOGIE,2,ZANICHELLI EDITORE,"44,60",No,Si,No
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,GESTIONE DEL CANTIERE E SICUREZZA DELL'AMBIENTE DI LAVORO,9788805078950,"BARALDI VALLI'  ",NUOVO CSL (IL) + QUADERNO PER LO SVILUPPO DELLE COMPETENZE,CANTIERE E SICUREZZA NEGLI AMBIENTI DI LAVORO,U,SEI,"34,30",No,No,No
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,"PROGETTAZIONE, COSTRUZIONI E IMPIANTI",9788805077731,"ALASIA UMBERTO - PUGNO MAURIZIO ",MANUALE DI PROGETTAZIONE COSTRUZIONI IMPIANTI+DVD- ED. AGG. NTC 2018,"PRONTUARIO A USO DEGLI IST. TECNICI, DEI TECN. PROGETT E DEI PROFESSIONISTI",U,SEI,"36,90",No,No,Mo
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,"PROGETTAZIONE, COSTRUZIONI E IMPIANTI",9788820396183,"BARALDI VALLI - ZANGHI FRANCESCO ","PROGETTAZIONE, COSTRUZIONI, IMPIANTI",TIPOLOGIE RESIDENZIALI - TECNICA DELLE STRUTTURE IN CEMENTO ARMATO E IN ACCI,2,HOEPLI,"38,50",No,Si,No
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,SCIENZE MOTORIE E SPORTIVE,9788805078486,"GOTTIN MAURIZIO - DEGANI ENRICO ",MATCH POINT + BASIC LIFE SUPPORT E TECNICHE DI PRIMO SOCCORSO,SCIENZE MOTORIE E SPORTIVE PER LA SCUOLA SECONDARIA DI SECONDO GRADO,U,SEI,"21,30",No,No,No
MTTD06000B,4,ACAT,NT,COSTRUZIONI AMBIENTE E TERRITORIO,RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA,9788805075492,"SOLINAS LUIGI  ",ARCOBALENI + DVD - CON NULLA OSTA CEI,VOLUME UNICO,U,SEI,"19,90",No,No,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",CHIMICA,9788808999696,"TARASCO SILVIA - TIBONE FEDERICO ",CHIMICA SOSTENIBILE - VOL. U (LDM),ND,U,ZANICHELLI EDITORE,"21,70",No,Si,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA E LETTERATURA ITALIANA,9788824778428,"SENSINI MARCELLO  ",A TUTTO CAMPO,VOLUME A - GRAMMATICA E LESSICO + VOLUME B - SCRITTURA E TESTI,U,A. MONDADORI SCUOLA,"29,20",No,No,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA E LETTERATURA ITALIANA,9788839562807,POZZOLI ORIETTA - MANFREDI PAOLA - DI SACCO PAOLO,FORSE UN MATTINO B CON PERCORSO LE ORIGINI DELLA LETTERATURA,ND,2,PARAVIA,"24,30",No,Si,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA E LETTERATURA ITALIANA,9788839562845,POZZOLI ORIETTA - MANFREDI PAOLA - DI SACCO PAOLO,FORSE UN MATTINO ANTOLOGIA DEI PROMESSI SPOSI,ND,U,PARAVIA,"11,70",No,No,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA INGLESE,9788836192588,"SPENCER DAVID  ",GATEWAY THINK GLOBAL,FAST TRACK + ROAD MAP TO COMMUNICATION,U,MACMILLAN,"33,60",No,No,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",STORIA,9788830226586,"CAZZANIGA  ",STORIA E' TRA DI NOI (LA),VOLUME 2,2,LA NUOVA ITALIA EDITRICE,"25,40",No,Si,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",GEOGRAFIA,9788823106710,"GAMBERUCCI FABRIZIA  ",GEOGRAFIA DEL MONDO CHE CAMBIA - LIBRO MISTO CON LIBRO DIGITALE,VOLUME 2 - PAESI EXTRAEUROPEI,2,MARKES,"22,90",No,Si,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",MATEMATICA,9788808541819,"BERGAMINI MASSIMO - BAROZZI GRAZIELLA ",MATEMATICA MULTIMEDIALE.VERDE 2ED. - VOL. 2 CON TUTOR (LDM),ND,2,ZANICHELLI EDITORE,"37,00",No,Si,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING","SCIENZE NATURALI (BIOLOGIA, CHIMICA, SCIENZE DELLA TERRA)",9788824777766,"ZANOLI STEFANO  ",LIFE LEZIONI DI BIOLOGIA,VOLUME UNICO,U,A. MONDADORI SCUOLA,"25,10",No,Si,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",DIRITTO ED ECONOMIA,9788808663122,"RAZZOLI MARIACRISTINA  ",DIRITTO ED ECONOMIA 3ED. - VOL. 2 (LDM),TRA MONDO REALE E DIGITALE,2,CLITT,"15,30",No,Si,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",ECONOMIA AZIENDALE,9788824787086,"BANDERALI FABIO  ",ECONOMIA AZIENDALE IN PRATICA,VOLUME UNICO PER IL 1° BIENNIO + QUADERNO - ED 2024,U,SCUOLA & AZIENDA,"33,00",No,No,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",TECNOLOGIE INFORMATICHE,9788824786607,"IACOBELLI CESARE - BELTRAMO FAUSTO ",COMPUWORLD 4.0 2A EDIZIONE_2022,VOLUME UNICO,U,SCUOLA & AZIENDA,"27,30",No,No,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA E CULTURA STRANIERA (SPAGNOLO),9788808690159,"POLETTINI CARLA - NAVARRO JOSÉ PÉREZ ",SOMOS2030 - VOLUME B (LDM),SEGUNDA EDICIÓN DE JUNTOS,2,ZANICHELLI EDITORE,"29,50",No,Si,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",LINGUA E CULTURA STRANIERA (SPAGNOLO),9788808875167,"POLETTINI CARLA - NAVARRO JOSÉ PÉREZ ",SOMOS2030 - VOLUME A (LDM),SEGUNDA EDICIÓN DE JUNTOS,1,ZANICHELLI EDITORE,"27,30",No,No,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",SCIENZE MOTORIE E SPORTIVE,9788805078486,"GOTTIN MAURIZIO - DEGANI ENRICO ",MATCH POINT + BASIC LIFE SUPPORT E TECNICHE DI PRIMO SOCCORSO,SCIENZE MOTORIE E SPORTIVE PER LA SCUOLA SECONDARIA DI SECONDO GRADO,U,SEI,"21,30",No,No,No
MTTD06000B,2,D,NO,"AMMINISTRAZIONE, FINANZA, MARKETING",RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA,9788805079612,"SOLINAS LUIGI  ",NOI DOMANI - VOLUME UNICO + RELIGIONI IN DIALOGO,CON NULLA OSTA CEI,U,SEI,"18,90",No,No,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,CHIMICA,9788884884640,"LA GRASTA ANTONELLA  ","CHIMICA A BORDO (LA) - CON VIDEO TUTORIAL, SIMULAZIONI, AGENDA 2030",CORSO DI CHIMICA PER L'INDIRIZZO TRASPORTI E LOGISTICA,U,SAN MARCO,"28,00",No,No,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,LINGUA INGLESE,9788836192588,"SPENCER DAVID  ",GATEWAY THINK GLOBAL,FAST TRACK + ROAD MAP TO COMMUNICATION,U,MACMILLAN,"33,60",No,No,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,LINGUA E LETTERATURA ITALIANA,9788824778428,"SENSINI MARCELLO  ",A TUTTO CAMPO,VOLUME A - GRAMMATICA E LESSICO + VOLUME B - SCRITTURA E TESTI,U,A. MONDADORI SCUOLA,"29,20",No,No,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,LINGUA E LETTERATURA ITALIANA,9788839562807,POZZOLI ORIETTA - MANFREDI PAOLA - DI SACCO PAOLO,FORSE UN MATTINO B CON PERCORSO LE ORIGINI DELLA LETTERATURA,ND,2,PARAVIA,"24,30",No,Si,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,LINGUA E LETTERATURA ITALIANA,9788839562845,POZZOLI ORIETTA - MANFREDI PAOLA - DI SACCO PAOLO,FORSE UN MATTINO ANTOLOGIA DEI PROMESSI SPOSI,ND,U,PARAVIA,"11,70",No,No,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,STORIA,9788830226586,"CAZZANIGA  ",STORIA E' TRA DI NOI (LA),VOLUME 2,2,LA NUOVA ITALIA EDITRICE,"25,40",No,Si,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,MATEMATICA,9788808541819,"BERGAMINI MASSIMO - BAROZZI GRAZIELLA ",MATEMATICA MULTIMEDIALE.VERDE 2ED. - VOL. 2 CON TUTOR (LDM),ND,2,ZANICHELLI EDITORE,"37,00",No,Si,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,FISICA,9788808745064,CUTNELL JOHN D - JOHNSON KENNETH W - YOUNG D - STADLER S,FISICA DI CUTNELL E JOHNSON.VERDE (LA) - VOLUME 2 (LDM),"TERMODINAMICA, ONDE, ELETTROMAGNETISMO",2,ZANICHELLI EDITORE,"24,30",No,Si,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,"SCIENZE NATURALI (BIOLOGIA, CHIMICA, SCIENZE DELLA TERRA)",9788824777766,"ZANOLI STEFANO  ",LIFE LEZIONI DI BIOLOGIA,VOLUME UNICO,U,A. MONDADORI SCUOLA,"25,10",No,Si,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,DIRITTO ED ECONOMIA,9788808663122,"RAZZOLI MARIACRISTINA  ",DIRITTO ED ECONOMIA 3ED. - VOL. 2 (LDM),TRA MONDO REALE E DIGITALE,2,CLITT,"15,30",No,Si,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,TECNOLOGIE E TECNICHE DI RAPPRESENTAZIONE GRAFICA,9788805080588,"DELLAVECCHIA SERGIO - DELLAVECCHIA GIAN MARCO ",TTRG - VOLUME UNICO + SCHEDE DI DISEGNO,PER IL PROGETTO EDILIZIO,U,SEI,"31,40",No,No,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,SCIENZE E TECNOLOGIE APPLICATE,9788820346607,"AA VV  ",STA - SCIENZE E TECNOLOGIE APPLICATE TRASPORTI E LOGISTICA,ND,U,HOEPLI,"22,50",No,Si,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,SCIENZE MOTORIE E SPORTIVE,9788805078486,"GOTTIN MAURIZIO - DEGANI ENRICO ",MATCH POINT + BASIC LIFE SUPPORT E TECNICHE DI PRIMO SOCCORSO,SCIENZE MOTORIE E SPORTIVE PER LA SCUOLA SECONDARIA DI SECONDO GRADO,U,SEI,"21,30",No,No,No
MTTD06000B,2,ATL,NO,TRASPORTI E LOGISTICA - BIENNIO COMUNE,RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA,9788805079612,"SOLINAS LUIGI  ",NOI DOMANI - VOLUME UNICO + RELIGIONI IN DIALOGO,CON NULLA OSTA CEI,U,SEI,"18,90",No,No,No
